Issue Type,Issue key,Status,Labels,Status Last Changed,Desired Ship Date,Priority
MakeBrackets,MFG-155683,Brackets in Printer Queue,reorder,26/Jan/22 11:20 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155679,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155678,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155674,Ready for Print File Setup,reorder,25/Jan/22 7:08 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155673,Brackets in Printer Queue,reorder,26/Jan/22 11:21 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155669,Ready to Print,reorder,27/Jan/22 8:18 AM,03/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155668,Debinding Program Started,reorder,27/Jan/22 8:03 AM,03/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155656,Debinding Program Started,reorder,27/Jan/22 11:27 AM,03/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155627,Debinding Program Started,reorder,27/Jan/22 11:29 AM,03/Feb/22 12:00 AM,Highest
MakeIDB,MFG-155602,Ready to Print,reorder,27/Jan/22 9:07 AM,03/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155601,Debinding Program Started,reorder,27/Jan/22 8:03 AM,03/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155590,Ready to Print,reorder,27/Jan/22 9:29 AM,03/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155589,Warming Oven,reorder,26/Jan/22 7:01 PM,03/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155585,Ready to Print,reorder,27/Jan/22 9:29 AM,03/Feb/22 12:00 AM,Medium
